City,City_cd,OverallRank,State,BFRankOverall,BFRankEasebusiness,BFRankHiring,BFRankRegulations,BFRankHealthSafety,BFRankEmploymentLabor&HiringRegulations,BFRankTaxRegulations,EducationalTotalScore,Education&AttainmentGap,EducationalOverallRank,MobilePopulation,MobilePopulationrank,MobileOverallscore,MobileOverallrank,Diversityoverallrank,DiversityTotalScore,SocioeconomicDiversityrank,diversityRank,EconomicDiversityRank,HouseholdDiversityRank,ReligiousDiversityRank,TransitRank,TransitScore,TransitPopulation,PopulationTotal,PopulationRanking,locations,lat,Lon,OverallAverageRanking,OverallRank
New Haven,New,57, CT,61,52,3,11,13,4,40,52.98,119,44,562839,71,97.8,6,122,66.61,282,32,496,402,299,65,3.6,632669,131014,106,"[41.3108, -72.925]",41.3108,-72.925,67,57
Santa Rosa,San,58, CA,67,44,37,46,33,50,54,54.8,46,36,308231,122,91.8,123,64,68.23,73,97,31,250,298,32,6.6,333123,175269,86,"[38.4468, -122.7061]",38.4468,-122.7061,68,58
Buffalo,Buf,59, NY,64,51,74,58,49,41,69,50.23,127,59,935906,45,97.3,19,192,65.22,457,158,330,291,153,20,7.9,259521,258612,57,"[42.8925, -78.8597]",42.8925,-78.8597,69,59
Memphis,Mem,60, TN,3,2,1,13,20,36,14,40.95,121,112,1060061,40,95.8,80,145,66.25,406,270,120,77,10,58,4.1,655039,652236,22,"[35.1028, -89.9774]",35.1028,-89.9774,70,60
Tucson,Tuc,61, AZ,74,56,5,75,77,74,64,49.35,134,66,843168,51,95.4,96,125,66.56,399,74,105,84,357,37,5.8,510991,535677,30,"[32.1531, -110.8706]",32.1531,-110.8706,71,61
Anchorage,Anc,62, AK,50,59,70,70,64,68,68,57.03,23,28,664651,60,95.1,103,146,66.21,101,122,33,249,414,59,4.1,299107,352497,46,"[33.8555, -117.7601]",33.8555,-117.7601,72,62
Huntsville,Hun,63, AL,5,11,13,10,16,10,8,58.05,61,25,423566,88,92.8,121,174,65.55,110,230,221,277,236,35,6.1,2260279,194585,74,"[34.699, -86.673]",34.699,-86.673,72,63
Hartford,Har,64, CT,57,50,77,73,74,76,73,57.95,117,26,924859,46,95.5,91,91,67.26,465,33,384,245,218,64,3.7,261552,123400,107,"[41.7659, -72.6816]",41.7659,-72.6816,73,64
Portland,Por,65, ME,18,6,38,29,17,28,49,62.07,42,15,1849898,23,95,104,265,64.07,55,188,313,284,441,13,8.4,609300,647805,23,"[45.537, -122.65]",45.537,-122.65,73,65
Portland,Por,66, OR,18,6,38,29,17,28,49,62.07,42,15,1849898,23,95,104,265,64.07,55,188,313,284,441,13,8.4,609300,647805,24,"[45.537, -122.65]",45.537,-122.65,73,66
Savannah,Sav,67, GA,24,12,68,38,44,46,24,50.35,75,58,643260,63,95.6,90,143,66.27,405,225,171,111,27,32,6.6,333123,146444,98,"[32.0025, -81.1536]",32.0025,-81.1536,74,67
Beaumont,Bea,68, TX,60,55,21,71,71,65,65,28.94,57,139,594309,67,95.8,81,58,68.4,132,69,315,268,228,9,8.9,622454,119114,113,"[30.0849, -94.1453]",30.0849,-94.1453,77,68
Cleveland,Cle,69, OH,13,17,20,41,41,31,39,46.65,124,85,1780673,24,97.8,3,297,63.55,494,198,248,297,110,23,7.6,390421,385525,43,"[41.4785, -81.6794]",41.4785,-81.6794,77,69
Worcester,Wor,70, MA,71,77,66,59,48,60,52,52.37,73,49,486514,80,91.7,124,86,67.44,235,77,377,122,286,72,2.9,359702,185677,80,"[42.2695, 0]",42.2695,0,80,70
Lexington,Lex,71, KY,51,54,78,74,76,58,58,55.32,88,31,1886011,22,96.5,54,177,65.52,107,281,302,209,129,43,5.1,587019,106021,130,"[33.0466, -96.9818]",33.0466,-96.9818,81,71
Cincinnati,Cin,72, OH,34,27,39,26,46,50,30,49.86,86,62,1624827,29,96.9,33,277,63.95,378,258,413,423,99,30,6.8,295619,301301,51,"[39.1402, -84.5058]",39.1402,-84.5058,81,72
Virginia Beach,Vir,73, VA,8,3,8,15,14,15,11,52.54,51,47,328454,113,95.7,85,170,65.58,111,177,48,239,386,69,3,448290,122441,108,"[34.5277, -117.3536]",34.5277,-117.3536,81,73
Chattanooga,Cha,74, TN,23,33,9,25,24,16,23,38.18,101,121,381112,99,97.6,7,200,65.03,307,253,155,190,151,57,4.2,764226,179139,84,"[35.066, -85.2484]",35.066,-85.2484,82,74
Allentown,All,75,NJ,72,62,39,69,68,55,55,44.6,41,96,664651,60,95.1,103,69,68.1,456,56,410,11,116,47,5,529226,121283,112,"[40.5936, -75.4784]",40.5936,-75.4784,83,75
Modesto,Mod,76, CA,41,34,68,57,42,59,53,20.57,138,146,358172,104,97.5,10,233,64.57,386,312,247,94,59,12,8.5,397663,214221,65,"[37.6375, -121.003]",37.6375,-121.003,85,76
Syracuse,Syr,77, NY,78,68,49,65,68,75,76,49.64,132,64,412317,89,97.2,22,187,65.31,436,142,446,376,138,56,4.3,280984,143396,100,"[43.041, -76.1436]",43.041,-76.1436,85,77
Urban Honolulu,Urb,78, HI,22,23,59,53,51,57,66,57.66,4,27,655479,61,96.9,34,278,63.93,263,339,179,1,257,18,7.9,347764,104991,131,"[32.3173, -95.3059]",32.3173,-95.3059,85,78
